yyyy,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
1871,4.74,0.26,0.40,,,,,,,,,0.049610,0.054852,0.056034,0.084388,0.650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,5.07,0.30,0.43,,,,,,,,,0.074134,0.059172,0.060606,0.084813,0.697674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,4.42,0.33,0.46,,,,,,,,,0.091715,0.074661,0.081683,0.104072,0.717391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,4.54,0.33,0.46,,,,,,,,,0.058314,0.072687,0.072210,0.101322,0.717391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,4.37,0.30,0.36,,,,,,,,,0.045897,0.068650,0.068650,0.082380,0.833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,3.58,0.30,0.28,,,,,,,,,0.043973,0.083799,0.083333,0.078212,1.071429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,3.25,0.19,0.30,,,,,,,,,0.042278,0.058462,0.058282,0.092308,0.633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,3.45,0.18,0.31,,,,,,,,,0.038657,0.052174,0.051873,0.089855,0.580645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,4.92,0.20,0.38,,,,,,,,,0.040892,0.040650,0.040568,0.077236,0.526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,5.84,0.26,0.49,,,,,,,,,0.043404,0.044521,0.046346,0.083904,0.530612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,6.01,0.32,0.44,,,,,,,,,0.042232,0.053245,0.051696,0.073211,0.727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,5.84,0.32,0.43,,,,,,,,,0.049152,0.054795,0.055077,0.073630,0.744186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,5.34,0.33,0.40,,,,,,,,,0.049154,0.061798,0.060440,0.074906,0.825000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,4.34,0.31,0.31,,,,,,,,,0.043679,0.071429,0.071264,0.071429,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,5.20,0.24,0.27,,,,,,,,,0.033202,0.046154,0.045802,0.051923,0.888889,,,,,,,,0.023739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,5.64,0.22,0.33,,,,,,,,,0.036061,0.039007,0.037997,0.058511,0.666667,,,,,,,,0.016459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,5.27,0.25,0.36,,,,,,,,,0.048302,0.047438,0.047170,0.068311,0.694444,,,,,,,,0.018298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,5.14,0.23,0.26,,,,,,,,,0.042261,0.044747,0.043893,0.050584,0.884615,,,,,,,,0.012851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,5.32,0.22,0.30,,,,,,,,,0.037429,0.041353,0.041121,0.056391,0.733333,,,,,,,,0.006874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,4.60,0.22,0.29,,,,,,,,,0.045899,0.047826,0.046709,0.063043,0.758621,,,,,,,,0.022621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,5.41,0.22,0.34,,,,,,,,,0.049378,0.040665,0.041905,0.062847,0.647059,,,,,,,,0.016124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,5.51,0.24,0.37,,,,,,,,,0.032520,0.043557,0.043088,0.067151,0.648649,,,,,,,,0.010886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,4.41,0.25,0.26,,,,,,,,,0.061334,0.056689,0.054705,0.058957,0.961538,,,,,,,,0.054584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,4.30,0.21,0.16,,,,,,,,,0.024408,0.048837,0.048387,0.037209,1.312500,,,,,,,,0.016739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,4.32,0.19,0.25,,,,,,,,,0.025668,0.043981,0.041394,0.057870,0.760000,,,,,,,,0.028690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,4.22,0.18,0.21,,,,,,,,,0.046288,0.042654,0.041096,0.049763,0.857143,,,,,,,,0.046433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,4.75,0.18,0.31,,,,,,,,,0.027567,0.037895,0.038710,0.065263,0.580645,,,,,,,,0.022752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,5.65,0.20,0.35,,,,,,,,,0.030143,0.035398,0.037594,0.061947,0.571429,,,,,,,,0.032424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,6.02,0.21,0.48,,,,,,,,,0.029507,0.034884,0.032508,0.079734,0.437500,,,,,,,,0.027097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,6.87,0.30,0.48,,,,,,,,,0.037767,0.043668,0.046296,0.069869,0.625000,,,,,,,,0.017160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,7.95,0.32,0.50,,,,,,,,,0.034588,0.040252,0.039604,0.062893,0.640000,,,,,,,,0.037293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,8.05,0.33,0.63,,,,,,,,,0.039023,0.040994,0.040049,0.078261,0.523810,,,,,,,,0.013393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,6.57,0.35,0.53,,,,,,,,,0.046701,0.053272,0.055732,0.080670,0.660377,,,,,,,,0.024746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,8.25,0.31,0.49,,,,,,,,,0.037016,0.037576,0.037944,0.059394,0.632653,,,,,,,,0.012669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,9.54,0.33,0.67,,,,,,,,,0.033000,0.034591,0.035446,0.070231,0.492537,,,,,,,,0.015637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,9.84,0.40,0.76,,,,,,,,,0.047180,0.040650,0.040282,0.077236,0.526316,,,,,,,,0.017092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,6.57,0.44,0.66,,,,,,,,,0.051266,0.066971,0.070400,0.100457,0.666667,,,,,,,,0.047979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,9.03,0.40,0.58,,,,,,,,,0.042991,0.044297,0.045300,0.064230,0.689655,,,,,,,,0.020052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,10.30,0.44,0.76,,,,,,,,,0.028697,0.042718,0.043222,0.073786,0.578947,,,,,,,,0.010035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,9.05,0.47,0.73,,,,,,,,,0.040689,0.051934,0.050483,0.080663,0.643836,,,,,,,,0.018908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,9.11,0.47,0.59,,,,,,,,,0.033204,0.051592,0.051819,0.064764,0.796610,,,,,,,,0.007784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,9.38,0.48,0.70,,,,,,,,,0.036837,0.051173,0.049332,0.074627,0.685714,,,,,,,,0.006454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,8.04,0.48,0.63,,,,,,,,,0.048444,0.059701,0.059627,0.078358,0.761905,,,,,,,,0.010675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,7.35,0.42,0.52,,,,,,,,,0.040743,0.057143,0.054688,0.070748,0.807692,,,,,0.010000,,,0.011601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,9.48,0.43,0.88,,,,,,,,,0.028425,0.045359,0.045455,0.092827,0.488636,,,,,0.019802,,,0.019105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,9.80,0.56,1.53,,,,,,,,,0.025152,0.057143,0.054848,0.156122,0.366013,,,,,0.126214,,,0.017832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,6.80,0.69,1.28,,,,,,,,,0.036474,0.101471,0.098011,0.188235,0.539063,,,,,0.181034,,,0.035562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,7.90,0.57,0.99,,,,,,,,,0.048008,0.072152,0.070720,0.125316,0.575758,,,,,0.204380,,,0.015361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,8.92,0.53,0.93,,,0.0573,0.0777,0.0490,,,,0.045351,0.059417,0.057671,0.104260,0.569892,,,0.020400,,0.145455,,,0.024541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,6.81,0.51,0.80,,,0.0626,0.0856,0.0540,,,0.0588,0.053759,0.074890,0.068182,0.117474,0.637500,,-0.004800,0.023000,,0.026455,,,0.033408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,7.31,0.46,0.29,,,0.0550,0.0761,0.0447,,,0.0390,0.053540,0.062927,0.065156,0.039672,1.586207,0.596535,0.005700,0.021100,,-0.108247,,,0.019019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,8.78,0.51,0.69,,,0.0508,0.0702,0.0432,,,0.0365,0.035564,0.058087,0.057955,0.078588,0.739130,0.472649,0.006700,0.019400,,-0.023121,,,0.014713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,8.55,0.53,0.98,,,0.0509,0.0738,0.0435,,,0.0388,0.039625,0.061988,0.064087,0.114620,0.540816,0.540201,0.004700,0.022900,,0.023669,,,0.015697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,10.16,0.55,0.93,,,0.0495,0.0646,0.0396,,,0.0257,0.030409,0.054134,0.057054,0.091535,0.591398,0.458883,0.013900,0.015100,,0.000000,,,0.010722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,12.46,0.60,1.25,,,0.0485,0.0615,0.0380,,,0.0351,0.028754,0.048154,0.048940,0.100321,0.480000,0.389378,0.002900,0.013000,,0.034682,,,0.013529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,13.49,0.69,1.24,0.122005,0.066031,0.0468,0.0568,0.0354,0.0777,0.0737,0.0307,0.032898,0.051149,0.051997,0.091920,0.556452,0.441476,0.004700,0.010000,-0.003951,-0.011173,,0.050876,0.016486,,,,,,,,,-1.553071,,,0.367276,-0.045455,,,,,0.096324,0.564030,0.583709,0.946190,0.946190,,0.039833,,,0.010782,,,0.228929,,
1927,17.66,0.77,1.11,0.358792,0.294560,0.0446,0.0532,0.0316,0.0894,0.0744,0.0317,0.030390,0.043601,0.044432,0.062854,0.693694,0.374689,-0.000100,0.008600,-0.015012,-0.022599,0.265512,0.076471,0.009419,,,,,,,,,-1.689068,,,0.258938,0.047170,,,,,0.101323,0.473359,0.578027,0.998855,0.998855,,0.059630,,,-0.030085,,,0.219392,,
1928,24.35,0.85,1.38,0.388440,0.333131,0.0461,0.0560,0.0340,0.0008,0.0284,0.0426,0.037847,0.034908,0.035008,0.056674,0.615942,0.259667,-0.008600,0.009900,0.027584,-0.011561,0.497429,0.063069,0.019799,,,,,,,,,-1.940990,,,0.349235,0.045467,,,,,-0.002884,0.411018,0.153228,1.000000,1.000000,,0.062303,,,0.050585,,,0.247871,,
1929,21.45,0.97,1.61,-0.088347,-0.121345,0.0467,0.0595,0.0340,0.0341,0.0327,0.0303,0.046385,0.045221,0.046367,0.075058,0.602484,0.338458,0.003700,0.012800,-0.001369,0.005848,0.720593,0.163522,0.124614,,,,,,,,,-1.796712,,,0.231456,0.000000,,,,,0.015004,0.491608,0.385008,0.651888,0.651888,,0.092711,,,-0.070696,,-0.248477,0.599362,,
1930,15.34,0.98,0.97,-0.263029,-0.295861,0.0452,0.0671,0.0330,0.0464,0.0798,0.0148,0.024314,0.063885,0.059143,0.063233,1.010309,0.554745,0.018200,0.021900,0.033321,-0.063953,0.307847,0.113886,0.066649,,,,,,,,,-1.525002,,,-0.059659,-0.038961,,,,,0.115589,0.519420,-0.080131,0.559663,0.431776,,0.079325,,,-0.068048,,-0.259306,0.470747,,
1931,8.12,0.82,0.61,-0.455253,-0.489204,0.0532,0.1042,0.0407,-0.0532,-0.0185,0.0241,0.009682,0.100985,0.086316,0.075123,1.344262,1.170732,0.016600,0.051000,0.034648,-0.093168,0.144665,-0.012921,0.159403,,,,,,,,,-1.326126,,,-0.286126,-0.030769,,,,,0.165795,0.492428,-1.424134,0.400803,0.204371,,0.092151,,,-0.088849,,-0.281164,0.584584,,
1932,6.89,0.50,0.41,-0.088907,-0.148369,0.0459,0.0842,0.0315,0.1685,0.1082,0.0004,0.012620,0.072569,0.076336,0.059507,1.219512,1.442084,0.031100,0.038300,-0.060250,-0.102740,0.037267,-0.005032,0.307452,,,,,,,,,-1.114092,,,-0.471724,0.000000,,,,,0.074595,0.542250,0.062649,0.678756,0.158092,,0.119122,,,0.079435,,-0.305591,0.562492,,
1933,10.10,0.44,0.44,0.532512,0.472273,0.0450,0.0775,0.0336,-0.0007,0.1038,0.0029,0.003726,0.043564,0.044534,0.043564,1.000000,0.829026,0.030700,0.032500,0.104454,0.007634,0.401055,0.006196,0.221817,,,,,,,,,-1.502601,,,-0.352752,0.000000,,,,,0.103713,0.442036,-0.049660,0.907978,0.258861,,0.090982,,,-0.132071,,-0.285280,0.536199,,
1934,9.50,0.45,0.49,-0.024842,-0.061886,0.0381,0.0623,0.0293,0.1001,0.1384,0.0023,0.002227,0.047368,0.047170,0.051579,0.918367,0.773741,0.027000,0.024200,0.038284,0.015152,0.071283,0.020813,0.066592,,,,,,,,,-1.410985,,,-0.308028,-0.109505,,,,,0.108914,0.482486,0.448614,0.939498,0.272949,,0.059967,,,0.028668,,-0.248345,0.293760,,
1935,13.43,0.47,0.76,0.456331,0.399691,0.0344,0.0530,0.0276,0.0500,0.0961,0.0015,0.001826,0.034996,0.036293,0.056590,0.618421,0.559911,0.026100,0.018600,0.046188,0.029851,0.066196,0.008689,0.035507,,,,,,,,,-1.633659,,,-0.151488,0.051900,,,,,0.114062,0.465231,0.274940,0.970965,0.378125,,0.079137,,,0.079883,,-0.232309,0.278523,,
1936,17.18,0.72,1.02,0.334178,0.279453,0.0310,0.0453,0.0255,0.0750,0.0674,0.0012,0.001776,0.041909,0.041667,0.059371,0.705882,0.458588,0.024300,0.014300,-0.007515,0.014493,0.120577,0.025225,0.031256,,,,,,,,,-1.728437,,,-0.011077,0.009796,,,,,0.078547,0.403578,0.404607,0.972958,0.471968,,0.060696,,,0.061963,,-0.217684,0.289809,,
1937,10.55,0.80,1.13,-0.359935,-0.394225,0.0321,0.0573,0.0273,0.0023,0.0275,0.0011,0.002928,0.075829,0.072007,0.107109,0.707965,0.707489,0.026200,0.025200,0.025141,0.028571,0.312372,0.031775,0.099633,,,0.002833,,,,,,-1.541531,,,-0.347754,-0.063830,,,,,0.017905,0.449715,0.530795,0.621656,0.317050,,0.068716,,,-0.179631,,-0.213824,0.542733,,
1938,13.21,0.51,0.64,0.293084,0.242537,0.0308,0.0527,0.0252,0.0551,0.0613,0.0003,0.000800,0.038607,0.040063,0.048448,0.796875,0.572039,0.024900,0.021900,0.006208,-0.027778,0.044923,0.005722,0.112143,,,0.004167,,,,,,-1.518621,,,-0.252828,0.000000,,,,,0.083095,0.547497,0.223946,0.976468,0.404964,,0.062128,,,0.095305,,-0.230226,0.340370,,
1939,12.49,0.62,0.90,-0.011042,-0.056695,0.0294,0.0492,0.0226,0.0595,0.0397,0.0004,0.000575,0.049640,0.050820,0.072058,0.688889,0.580705,0.022200,0.019800,-0.019834,0.000000,0.085490,0.002551,0.066420,,,0.006074,,,,,,-1.366909,,,-0.102061,0.041667,,,,,0.087124,0.542512,0.096586,0.961968,0.393499,,0.055309,,,0.115651,,-0.229244,0.250358,,
1940,10.58,0.67,1.05,-0.097792,-0.151700,0.0271,0.0445,0.0194,0.0609,0.0339,0.0002,0.000525,0.063327,0.063148,0.099244,0.638095,0.729048,0.019200,0.017400,-0.026982,0.007143,0.118712,0.012589,0.048050,,,0.004262,,,,,,-1.319435,,,-0.030869,0.064697,,,,,0.030474,0.566763,0.420782,0.858181,0.344020,,0.045138,,,0.059118,,-0.226406,0.319077,,
1941,8.69,0.71,1.16,-0.113972,-0.176768,0.0280,0.0438,0.0204,0.0093,0.0273,0.0033,0.000875,0.081703,0.078022,0.133487,0.612069,0.889510,0.017100,0.015800,0.017996,0.099291,0.114209,0.010343,0.022472,,,0.003447,,,,,,-1.476217,,,0.110281,0.000000,,,,,0.042130,0.513481,0.074605,0.830601,0.291104,,0.058705,,,0.021949,,-0.215565,0.330718,,
1942,9.77,0.59,1.03,0.209609,0.129991,0.0281,0.0428,0.0246,0.0322,0.0260,0.0038,0.003329,0.060389,0.063509,0.105425,0.572816,0.862647,0.020800,0.014700,-0.006197,0.090323,0.123800,0.001812,0.018051,,,0.005101,,,,,,-1.242438,,,0.240031,0.000000,,,,,0.073057,0.553000,0.627118,0.998662,0.313246,,0.044246,,,0.084210,,-0.202837,0.187628,,
1943,11.67,0.61,0.94,0.266659,0.203313,0.0274,0.0382,0.0248,0.0209,0.0283,0.0038,0.003805,0.052271,0.055354,0.080548,0.648936,0.787402,0.021000,0.010800,0.007447,0.029586,0.164306,0.014423,0.016087,,,0.001962,,,,,,-1.402982,,,0.337808,0.000000,,,,,0.103861,0.432757,0.260412,0.931902,0.356508,,0.041782,,,0.043651,,-0.186589,0.308690,,
1944,13.28,0.64,0.93,0.211634,0.151353,0.0270,0.0349,0.0246,0.0282,0.0473,0.0038,0.003805,0.048193,0.049883,0.070030,0.688172,0.743764,0.020800,0.007900,0.019171,0.022989,0.164524,0.019062,0.008400,,,0.003522,,,,,,-1.463287,,,0.293134,0.000000,,,,,0.084354,0.350978,-0.067599,0.997702,0.398589,,0.048094,,,-0.003231,,-0.178526,0.201678,,
1945,17.36,0.66,0.96,0.366645,0.309747,0.0261,0.0310,0.0199,0.1073,0.0408,0.0038,0.003805,0.038018,0.038394,0.055300,0.687500,0.613239,0.016100,0.004900,-0.066552,0.022472,0.211740,0.025525,0.015969,-0.052604,,0.004328,,,,,,-1.838242,,,-0.071077,0.000000,,,,,-0.001335,0.305235,-0.040243,0.985139,0.506100,,0.033732,,,-0.110812,,-0.168225,0.252703,,
1946,15.30,0.71,1.06,-0.092797,-0.128428,0.0261,0.0317,0.0212,-0.0008,0.0172,0.0038,0.003805,0.046405,0.048398,0.069281,0.669811,0.692438,0.017400,0.005600,0.018071,0.181319,0.318482,0.036076,0.046371,0.057512,,0.001781,,,,,,-1.746280,,,-0.005741,0.000000,,,,,0.100992,0.320722,0.158042,0.833882,0.464884,,0.036619,,,0.049788,,-0.161187,0.414458,,
1947,15.30,0.84,1.61,0.049091,-0.006500,0.0286,0.0352,0.0243,-0.0263,-0.0234,0.0095,0.004858,0.054902,0.056037,0.105229,0.521739,0.725326,0.014800,0.006600,0.002911,0.088372,0.239630,0.025922,0.019339,0.077723,0.034613,0.004761,,,,,0.042045,-1.587991,,,0.000629,0.028000,,,,,0.044715,0.356385,0.233286,0.969548,0.475274,,0.039228,,-0.012727,0.027327,,-0.162314,0.200286,,
1948,15.20,0.93,2.29,0.052582,-0.008405,0.0279,0.0353,0.0237,0.0339,0.0414,0.0116,0.010138,0.061184,0.063051,0.150658,0.406114,0.840948,0.012100,0.007400,0.007509,0.029915,0.157140,0.015015,0.022100,0.053876,0.034895,0.001633,,,,,0.052212,-1.451957,,,-0.044852,0.000000,,,,,0.069464,0.353007,0.230320,0.917892,0.465147,,0.036424,,0.006484,-0.010449,,-0.170370,0.437021,,
1949,16.76,1.14,2.32,0.180574,0.097705,0.0258,0.0331,0.0209,0.0644,0.0331,0.0110,0.011474,0.068019,0.070984,0.138425,0.491379,0.796429,0.009900,0.007300,-0.031303,-0.020747,0.191869,0.027176,0.012306,0.050736,0.029348,0.004252,,,,,0.062423,-1.444517,,,-0.128094,0.000000,,,,,0.037091,0.340426,0.178596,1.000000,0.526064,,0.037034,,0.003246,-0.004632,,-0.186010,0.170226,,
1950,20.41,1.47,2.84,0.329458,0.230299,0.0267,0.0320,0.0224,0.0005,0.0212,0.0134,0.011726,0.072024,0.075346,0.139147,0.517606,0.722538,0.009000,0.005300,0.020647,0.059322,0.227023,0.031358,0.021461,0.003779,0.034445,0.005663,,,,,0.054877,-1.717984,,,0.042527,0.000000,,,,,0.024319,0.332315,0.059735,0.999788,0.617625,,0.051567,,-0.008451,0.017253,,-0.196438,0.392238,,
1951,23.77,1.41,2.44,0.234251,0.160198,0.0301,0.0361,0.0269,-0.0394,-0.0269,0.0173,0.014629,0.059318,0.061626,0.102650,0.577869,0.721316,0.009600,0.006000,0.012519,0.060000,0.264824,0.036151,0.012182,0.003907,0.032642,0.004147,,,,,0.064095,-1.406022,-1.474896,,-0.001612,0.000000,,,,,0.055199,0.342446,0.149564,0.974165,0.706325,,0.022217,,0.000989,0.006896,-0.504039,-0.198451,0.278641,,
